Date,Price,Open,High,Low,Change %
1999-12-31,1.0075,1.0088,1.01,1.0045,-0.07%
1999-12-30,1.0082,1.004,1.0086,1.0012,0.36%
1999-12-29,1.0046,1.0071,1.0109,1.0033,-0.25%
1999-12-28,1.0071,1.0129,1.0141,1.003,-0.56%
1999-12-27,1.0128,1.0126,1.016,1.0111,-0.03%
1999-12-24,1.0131,1.0152,1.0172,1.0114,-0.31%
1999-12-23,1.0162,1.0095,1.0183,1.0071,0.64%
1999-12-22,1.0097,1.0084,1.0113,1.0057,0.00%
1999-12-21,1.0097,1.0135,1.0153,1.0074,-0.35%
1999-12-20,1.0132,1.0082,1.0145,1.0041,0.50%
1999-12-17,1.0082,1.016,1.0248,1.0057,-0.80%
1999-12-16,1.0163,1.0072,1.0192,1.0062,0.88%
1999-12-15,1.0074,1.0057,1.0088,1.001,0.15%
1999-12-14,1.0059,1.0143,1.015,1.0025,-0.79%
1999-12-13,1.0139,1.0137,1.0164,1.0105,0.10%
1999-12-10,1.0129,1.0213,1.0227,1.0112,-0.77%
1999-12-09,1.0208,1.028,1.0286,1.0152,-0.63%
1999-12-08,1.0273,1.0254,1.029,1.0222,0.19%
1999-12-07,1.0254,1.0226,1.0302,1.0197,0.22%
1999-12-06,1.0232,1.0029,1.0266,0.999,2.08%
1999-12-03,1.0024,1.0017,1.0043,0.9989,0.14%
1999-12-02,1.001,1.0083,1.0109,0.9997,-0.69%
1999-12-01,1.008,1.0095,1.013,1.0046,-0.11%
1999-11-30,1.0091,1.0097,1.0147,1.0043,-0.04%
1999-11-29,1.0095,1.0156,1.0202,1.0036,-0.70%
1999-11-26,1.0166,1.0181,1.0198,1.0076,-0.24%
1999-11-25,1.019,1.0182,1.0223,1.0167,-0.01%
1999-11-24,1.0191,1.0286,1.0287,1.0154,-0.89%
1999-11-23,1.0282,1.0316,1.0335,1.0253,-0.36%
1999-11-22,1.0319,1.0302,1.0345,1.0285,0.12%
1999-11-19,1.0307,1.0303,1.0339,1.0246,0.10%
1999-11-18,1.0297,1.0412,1.0438,1.0257,-1.10%
1999-11-17,1.0412,1.0305,1.0445,1.0296,1.11%
1999-11-16,1.0298,1.0333,1.0359,1.029,-0.32%
1999-11-15,1.0331,1.0322,1.0343,1.0295,0.12%
1999-11-12,1.0319,1.0405,1.0415,1.0287,-0.87%
1999-11-11,1.041,1.0448,1.0452,1.0389,-0.36%
1999-11-10,1.0448,1.0405,1.0454,1.0384,0.41%
1999-11-09,1.0405,1.0386,1.0435,1.0362,0.15%
1999-11-08,1.0389,1.0446,1.0463,1.0345,-0.25%
1999-11-05,1.0415,1.0384,1.0438,1.0358,0.35%
1999-11-04,1.0379,1.0486,1.0543,1.0349,-1.00%
1999-11-03,1.0484,1.0525,1.0532,1.0455,-0.33%
1999-11-02,1.0519,1.0519,1.0557,1.0483,0.06%
1999-11-01,1.0513,1.0549,1.0594,1.0481,-0.36%
1999-10-29,1.0551,1.0524,1.056,1.0433,0.28%
1999-10-28,1.0522,1.0524,1.0546,1.0469,0.02%
1999-10-27,1.052,1.0596,1.0642,1.0482,-0.70%
1999-10-26,1.0594,1.0676,1.0695,1.0561,-0.78%
1999-10-25,1.0677,1.0688,1.0704,1.0633,-0.08%
1999-10-22,1.0686,1.0804,1.0814,1.0652,-1.07%
1999-10-21,1.0802,1.0766,1.0835,1.0755,0.49%
1999-10-20,1.0749,1.0829,1.0842,1.073,-0.72%
1999-10-19,1.0827,1.0819,1.0852,1.0774,0.10%
1999-10-18,1.0816,1.09,1.0905,1.0802,-0.64%
1999-10-15,1.0886,1.0776,1.0913,1.0766,1.02%
1999-10-14,1.0776,1.0811,1.0831,1.075,-0.30%
1999-10-13,1.0808,1.0772,1.0817,1.0734,0.33%
1999-10-12,1.0772,1.0633,1.0774,1.0629,1.30%
1999-10-11,1.0634,1.0615,1.0657,1.0609,-0.01%
1999-10-08,1.0635,1.0712,1.0721,1.0603,-0.74%
1999-10-07,1.0714,1.0688,1.075,1.0656,0.22%
1999-10-06,1.069,1.073,1.078,1.0676,-0.45%
1999-10-05,1.0738,1.0735,1.076,1.0666,0.02%
1999-10-04,1.0736,1.071,1.0776,1.0689,0.15%
1999-10-01,1.072,1.0678,1.077,1.0667,0.34%
1999-09-30,1.0684,1.064,1.0702,1.0604,0.39%
1999-09-29,1.0642,1.052,1.0657,1.0513,1.12%
1999-09-28,1.0524,1.046,1.0571,1.0441,0.59%
1999-09-27,1.0462,1.0438,1.0479,1.0392,0.22%
1999-09-24,1.0439,1.051,1.0546,1.0422,-0.63%
1999-09-23,1.0505,1.0433,1.0509,1.0392,0.62%
1999-09-22,1.044,1.0492,1.0543,1.0408,-0.51%
1999-09-21,1.0494,1.0362,1.0503,1.0362,1.33%
1999-09-20,1.0356,1.0417,1.0452,1.0347,-0.66%
1999-09-17,1.0425,1.0391,1.0427,1.036,0.38%
1999-09-16,1.0386,1.0406,1.0472,1.0346,-0.20%
1999-09-15,1.0407,1.0357,1.0423,1.0284,0.48%
1999-09-14,1.0357,1.0418,1.0444,1.0318,-0.65%
1999-09-13,1.0425,1.0356,1.0429,1.0299,0.61%
1999-09-10,1.0362,1.0539,1.0564,1.0349,-1.72%
1999-09-09,1.0543,1.0598,1.0636,1.0524,-0.53%
1999-09-08,1.0599,1.0589,1.0645,1.0563,0.10%
1999-09-07,1.0588,1.0571,1.0602,1.0513,0.06%
1999-09-06,1.0582,1.0577,1.0621,1.057,-0.29%
1999-09-03,1.0613,1.0683,1.0725,1.0587,-0.72%
1999-09-02,1.069,1.0577,1.0734,1.0553,1.02%
1999-09-01,1.0582,1.0565,1.0639,1.0556,0.17%
1999-08-31,1.0564,1.0497,1.061,1.0482,0.75%
1999-08-30,1.0485,1.0477,1.0487,1.0434,0.19%
1999-08-27,1.0465,1.0458,1.0487,1.0422,0.07%
1999-08-26,1.0458,1.0431,1.0473,1.041,0.34%
1999-08-25,1.0423,1.0537,1.0549,1.0406,-1.16%
1999-08-24,1.0545,1.0494,1.0551,1.0391,0.52%
1999-08-23,1.049,1.0671,1.0678,1.0463,-1.73%
1999-08-20,1.0675,1.0633,1.0691,1.0622,0.31%
1999-08-19,1.0642,1.0522,1.0648,1.0457,1.16%
1999-08-18,1.052,1.0511,1.0564,1.0499,0.12%
1999-08-17,1.0507,1.0581,1.0585,1.0488,-0.72%
1999-08-16,1.0583,1.0574,1.0602,1.0547,0.19%
1999-08-13,1.0563,1.0675,1.0702,1.0559,-1.08%
1999-08-12,1.0678,1.0654,1.0682,1.0621,0.22%
1999-08-11,1.0655,1.0708,1.0727,1.0642,-0.47%
1999-08-10,1.0705,1.0722,1.0768,1.0699,-0.18%
1999-08-09,1.0724,1.0728,1.0737,1.068,-0.08%
1999-08-06,1.0733,1.0757,1.0797,1.072,-0.22%
1999-08-05,1.0757,1.0777,1.0829,1.0743,-0.16%
1999-08-04,1.0774,1.068,1.0798,1.0669,0.91%
1999-08-03,1.0677,1.0684,1.0708,1.0629,-0.07%
1999-08-02,1.0685,1.0685,1.0712,1.063,-0.21%
1999-07-30,1.0707,1.0713,1.0747,1.0675,-0.16%
1999-07-29,1.0724,1.0663,1.0741,1.0652,0.53%
1999-07-28,1.0667,1.0637,1.0696,1.0591,0.32%
1999-07-27,1.0633,1.0642,1.0703,1.0608,-0.22%
1999-07-26,1.0656,1.0519,1.0725,1.0515,1.34%
1999-07-23,1.0515,1.0508,1.055,1.0458,0.08%
1999-07-22,1.0507,1.0513,1.0576,1.0473,-0.22%
1999-07-21,1.053,1.0402,1.0549,1.0394,1.15%
1999-07-20,1.041,1.0316,1.0438,1.0278,0.95%
1999-07-19,1.0312,1.0185,1.0339,1.0123,1.10%
1999-07-16,1.02,1.0196,1.0231,1.0181,0.10%
1999-07-15,1.019,1.0203,1.0254,1.0184,-0.14%
1999-07-14,1.0204,1.0168,1.0229,1.0124,0.38%
1999-07-13,1.0165,1.0152,1.0214,1.0109,0.20%
1999-07-12,1.0145,1.0194,1.0198,1.0111,-0.54%
1999-07-09,1.02,1.0223,1.0247,1.0166,-0.19%
1999-07-08,1.0219,1.0191,1.0229,1.0147,0.00%
1999-07-07,1.0219,1.0248,1.0272,1.0198,-0.19%
1999-07-06,1.0238,1.0225,1.0261,1.0183,0.15%
1999-07-05,1.0223,1.0248,1.0257,1.0212,-0.24%
1999-07-02,1.0248,1.024,1.0257,1.0208,0.13%
1999-07-01,1.0235,1.0364,1.0393,1.0203,-1.18%
1999-06-30,1.0357,1.0335,1.0361,1.0293,0.32%
1999-06-29,1.0324,1.0328,1.037,1.0314,-0.11%
1999-06-28,1.0335,1.0398,1.0438,1.0326,-0.90%
1999-06-25,1.0429,1.0404,1.0482,1.0404,0.26%
1999-06-24,1.0402,1.0335,1.0417,1.0303,0.63%
1999-06-23,1.0337,1.0328,1.0351,1.0271,0.09%
1999-06-22,1.0328,1.0345,1.0361,1.0295,-0.22%
1999-06-21,1.0351,1.039,1.0424,1.0309,-0.42%
1999-06-18,1.0395,1.0345,1.0427,1.0295,0.46%
1999-06-17,1.0347,1.0305,1.036,1.029,0.37%
1999-06-16,1.0309,1.0427,1.044,1.0288,-1.11%
