Year,Gold Reserves
1960,0.47
1961,0.47
1962,0.53
1963,0.56
1964,0.59
1965,0.47
1966,0.49
1967,0.46
1968,0.53
1969,0.62
1970,0.67
1971,0.83
1972,1.01
1973,1.46
1974,1.86
1975,1.69
1976,2.63
1977,3.07
1978,3.67
1979,5.01
1980,5.75
1981,5.02
1982,4.83
1983,4.67
1984,4.44
1985,5.68
1986,6.94
1987,8.57
1988,7.49
1989,8.73
1990,10.66
1991,11.72
1992,18.02
1993,28.18
1994,26.34
1995,24.7
1996,27.89
1997,21.47
1998,26.24
1999,30.93
2000,28.65
2001,29.85
2002,33.76
2003,44.31
2004,66.39
2005,70.46
2006,82.88
2007,101.99
2008,92.17
2009,96.7
2010,106.53
2011,133.57
2012,139.73
2013,134.85
2014,115.96
2015,95.28
2016,94.48
2017,102.45
2018,101.45
2019,103.63
