Year 1,Year 2,Quarter,Start Date,End Date,Start Date (String),End Date (String),Gold Demand
20,10,Q1,-01-01,-03-31,2010-01-01,2010-03-31,973.8
20,10,Q2,-04-01,-06-30,2010-04-01,2010-06-30,"1,151.9"
20,10,Q3,-07-01,-09-30,2010-07-01,2010-09-30,"1,030.1"
20,10,Q4,-10-01,-12-31,2010-10-01,2010-12-31,"1,034.4"
20,11,Q1,-01-01,-03-31,2011-01-01,2011-03-31,"1,171.4"
20,11,Q2,-04-01,-06-30,2011-04-01,2011-06-30,"1,090.3"
20,11,Q3,-07-01,-09-30,2011-07-01,2011-09-30,"1,271.0"
20,11,Q4,-10-01,-12-31,2011-10-01,2011-12-31,"1,244.9"
20,12,Q1,-01-01,-03-31,2012-01-01,2012-03-31,"1,128.5"
20,12,Q2,-04-01,-06-30,2012-04-01,2012-06-30,"1,066.3"
20,12,Q3,-07-01,-09-30,2012-07-01,2012-09-30,"1,180.4"
20,12,Q4,-10-01,-12-31,2012-10-01,2012-12-31,"1,306.5"
20,13,Q1,-01-01,-03-31,2013-01-01,2013-03-31,"1,137.4"
20,13,Q2,-04-01,-06-30,2013-04-01,2013-06-30,"1,310.3"
20,13,Q3,-07-01,-09-30,2013-07-01,2013-09-30,"1,071.8"
20,13,Q4,-10-01,-12-31,2013-10-01,2013-12-31,"1,041.3"
20,14,Q1,-01-01,-03-31,2014-01-01,2014-03-31,"1,116.5"
20,14,Q2,-04-01,-06-30,2014-04-01,2014-06-30,"1,086.1"
20,14,Q3,-07-01,-09-30,2014-07-01,2014-09-30,"1,072.8"
20,14,Q4,-10-01,-12-31,2014-10-01,2014-12-31,"1,121.2"
20,15,Q1,-01-01,-03-31,2015-01-01,2015-03-31,"1,091.2"
20,15,Q2,-04-01,-06-30,2015-04-01,2015-06-30,956.7
20,15,Q3,-07-01,-09-30,2015-07-01,2015-09-30,"1,136.7"
20,15,Q4,-10-01,-12-31,2015-10-01,2015-12-31,"1,148.7"
20,16,Q1,-01-01,-03-31,2016-01-01,2016-03-31,"1,291.8"
20,16,Q2,-04-01,-06-30,2016-04-01,2016-06-30,"1,085.8"
20,16,Q3,-07-01,-09-30,2016-07-01,2016-09-30,"1,025.6"
20,16,Q4,-10-01,-12-31,2016-10-01,2016-12-31,"1,033.2"
20,17,Q1,-01-01,-03-31,2017-01-01,2017-03-31,"1,113.5"
20,17,Q2,-04-01,-06-30,2017-04-01,2017-06-30,"1,021.4"
20,17,Q3,-07-01,-09-30,2017-07-01,2017-09-30,963.0
20,17,Q4,-10-01,-12-31,2017-10-01,2017-12-31,"1,169.5"
20,18,Q1,-01-01,-03-31,2018-01-01,2018-03-31,985.6
20,18,Q2,-04-01,-06-30,2018-04-01,2018-06-30,"1,036.0"
20,18,Q3,-07-01,-09-30,2018-07-01,2018-09-30,"1,083.6"
20,18,Q4,-10-01,-12-31,2018-10-01,2018-12-31,"1,295.1"
20,19,Q1,-01-01,-03-31,2019-01-01,2019-03-31,"1,066.4"
20,19,Q2,-04-01,-06-30,2019-04-01,2019-06-30,"1,137.4"
20,19,Q3,-07-01,-09-30,2019-07-01,2019-09-30,"1,100.2"
20,19,Q4,-10-01,-12-31,2019-10-01,2019-12-31,"1,082.8"
20,20,Q1,-01-01,-03-31,2020-01-01,2020-03-31,"1,063.3"
20,20,Q2,-04-01,-06-30,2020-04-01,2020-06-30,"1,016.5"
20,20,Q3,-07-01,-09-30,2020-07-01,2020-09-30,892.3
,,,,,,,
