Year,Quarter,Start Date,End Date,Start Date (String),End Date (String),Gold Reserves
2000,Q1,-01-01,-03-31,2000-01-01,2000-03-31,"529,358,570.3"
2000,Q2,-04-01,-06-30,2000-04-01,2000-06-30,"561,545,080.9"
2000,Q3,-07-01,-09-30,2000-07-01,2000-09-30,"536,461,693.9"
2000,Q4,-10-01,-12-31,2000-10-01,2000-12-31,"556,432,933.6"
2001,Q1,-01-01,-03-31,2001-01-01,2001-03-31,"520,817,360.6"
2001,Q2,-04-01,-06-30,2001-04-01,2001-06-30,"548,480,469.7"
2001,Q3,-07-01,-09-30,2001-07-01,2001-09-30,"625,679,131.4"
2001,Q4,-10-01,-12-31,2001-10-01,2001-12-31,"595,071,978.2"
2002,Q1,-01-01,-03-31,2002-01-01,2002-03-31,"658,678,522.2"
2002,Q2,-04-01,-06-30,2002-04-01,2002-06-30,"749,629,060.1"
2002,Q3,-07-01,-09-30,2002-07-01,2002-09-30,"786,026,180.7"
2002,Q4,-10-01,-12-31,2002-10-01,2002-12-31,"879,161,593.7"
2003,Q1,-01-01,-03-31,2003-01-01,2003-03-31,"880,563,608.1"
2003,Q2,-04-01,-06-30,2003-04-01,2003-06-30,"970,408,427.0"
2003,Q3,-07-01,-09-30,2003-07-01,2003-09-30,"1,152,614,868.0"
2003,Q4,-10-01,-12-31,2003-10-01,2003-12-31,"1,315,986,896.2"
2004,Q1,-01-01,-03-31,2004-01-01,2004-03-31,"1,452,575,105.2"
2004,Q2,-04-01,-06-30,2004-04-01,2004-06-30,"1,372,637,907.6"
2004,Q3,-07-01,-09-30,2004-07-01,2004-09-30,"1,481,298,858.4"
2004,Q4,-10-01,-12-31,2004-10-01,2004-12-31,"1,687,729,277.5"
2005,Q1,-01-01,-03-31,2005-01-01,2005-03-31,"1,731,473,440.6"
2005,Q2,-04-01,-06-30,2005-04-01,2005-06-30,"1,811,170,223.8"
2005,Q3,-07-01,-09-30,2005-07-01,2005-09-30,"2,014,362,054.8"
2005,Q4,-10-01,-12-31,2005-10-01,2005-12-31,"2,254,456,576.1"
2006,Q1,-01-01,-03-31,2006-01-01,2006-03-31,"2,672,604,356.1"
2006,Q2,-04-01,-06-30,2006-04-01,2006-06-30,"2,964,936,698.6"
2006,Q3,-07-01,-09-30,2006-07-01,2006-09-30,"3,008,993,773.7"
2006,Q4,-10-01,-12-31,2006-10-01,2006-12-31,"3,360,632,394.5"
2007,Q1,-01-01,-03-31,2007-01-01,2007-03-31,"3,740,214,448.4"
2007,Q2,-04-01,-06-30,2007-04-01,2007-06-30,"3,922,256,002.1"
2007,Q3,-07-01,-09-30,2007-07-01,2007-09-30,"4,728,463,411.9"
2007,Q4,-10-01,-12-31,2007-10-01,2007-12-31,"5,643,293,530.9"
2008,Q1,-01-01,-03-31,2008-01-01,2008-03-31,"6,823,653,770.4"
2008,Q2,-04-01,-06-30,2008-04-01,2008-06-30,"6,998,308,065.0"
2008,Q3,-07-01,-09-30,2008-07-01,2008-09-30,"6,683,585,380.6"
2008,Q4,-10-01,-12-31,2008-10-01,2008-12-31,"6,452,014,880.5"
2009,Q1,-01-01,-03-31,2009-01-01,2009-03-31,"6,634,432,929.6"
2009,Q2,-04-01,-06-30,2009-04-01,2009-06-30,"7,156,206,560.7"
2009,Q3,-07-01,-09-30,2009-07-01,2009-09-30,"8,233,667,415.2"
2009,Q4,-10-01,-12-31,2009-10-01,2009-12-31,"9,290,645,451.0"
2010,Q1,-01-01,-03-31,2010-01-01,2010-03-31,"9,677,356,434.3"
2010,Q2,-04-01,-06-30,2010-04-01,2010-06-30,"10,948,499,194.7"
2010,Q3,-07-01,-09-30,2010-07-01,2010-09-30,"12,267,106,611.1"
2010,Q4,-10-01,-12-31,2010-10-01,2010-12-31,"13,572,603,827.5"
2011,Q1,-01-01,-03-31,2011-01-01,2011-03-31,"14,582,241,436.1"
2011,Q2,-04-01,-06-30,2011-04-01,2011-06-30,"15,876,152,724.5"
2011,Q3,-07-01,-09-30,2011-07-01,2011-09-30,"17,217,877,989.3"
2011,Q4,-10-01,-12-31,2011-10-01,2011-12-31,"16,327,454,929.8"
2012,Q1,-01-01,-03-31,2012-01-01,2012-03-31,"18,133,239,306.7"
