Date,"World Total Reserves (includes gold, current US$)"
1960,60671496872
1961,62194060834
1962,62738486778
1963,66507632722
1964,68787556497
1965,70560525178
1966,71969064142
1967,73636093426
1968,84327585272
1969,77731078807
1970,94249800500
1971,1.37614E+11
1972,1.83719E+11
1973,2.51795E+11
1974,3.62261E+11
1975,3.24835E+11
1976,3.47705E+11
1977,4.40642E+11
1978,5.46101E+11
1979,8.34761E+11
1980,9.58972E+11
1981,7.45057E+11
1982,7.76705E+11
1983,7.10632E+11
1984,6.59264E+11
1985,7.16004E+11
1986,8.19864E+11
1987,1.08007E+12
1988,1.02234E+12
1989,1.05601E+12
1990,1.19444E+12
1991,1.21901E+12
1992,1.20134E+12
1993,1.3574E+12
1994,1.49785E+12
1995,1.71629E+12
1996,1.8757E+12
1997,1.86576E+12
1998,1.93031E+12
1999,2.37311E+12
2000,2.47678E+12
2001,2.57822E+12
2002,3.00924E+12
2003,3.65845E+12
2004,4.34336E+12
2005,4.90182E+12
2006,5.95825E+12
2007,7.63559E+12
2008,8.29922E+12
2009,9.70945E+12
2010,1.09231E+13
2011,1.23494E+13
2012,1.32794E+13
2013,1.34671E+13
2014,1.33328E+13
2015,1.24646E+13
2016,1.23497E+13
2017,1.32727E+13
2018,1.32644E+13
2019,1.39777E+13
2020,
