Year 1,Year 2,Quarter,Start Date,End Date,Start Date (String),End Date (String),Gold Supply
20,12,Q1,-01-01,-03-31,2012-01-01,2012-03-31,251.6
20,12,Q2,-04-01,-06-30,2012-04-01,2012-06-30,174.3
20,12,Q3,-07-01,-09-30,2012-07-01,2012-09-30,210.9
20,12,Q4,-10-01,-12-31,2012-10-01,2012-12-31,333.9
20,13,Q1,-01-01,-03-31,2013-01-01,2013-03-31,291.6
20,13,Q2,-04-01,-06-30,2013-04-01,2013-06-30,380.2
20,13,Q3,-07-01,-09-30,2013-07-01,2013-09-30,149.2
20,13,Q4,-10-01,-12-31,2013-10-01,2013-12-31,160.8
20,14,Q1,-01-01,-03-31,2014-01-01,2014-03-31,209.7
20,14,Q2,-04-01,-06-30,2014-04-01,2014-06-30,231.2
20,14,Q3,-07-01,-09-30,2014-07-01,2014-09-30,243.5
20,14,Q4,-10-01,-12-31,2014-10-01,2014-12-31,316.7
20,15,Q1,-01-01,-03-31,2015-01-01,2015-03-31,240.6
20,15,Q2,-04-01,-06-30,2015-04-01,2015-06-30,229.4
20,15,Q3,-07-01,-09-30,2015-07-01,2015-09-30,283.3
20,15,Q4,-10-01,-12-31,2015-10-01,2015-12-31,249.7
20,16,Q1,-01-01,-03-31,2016-01-01,2016-03-31,144.7
20,16,Q2,-04-01,-06-30,2016-04-01,2016-06-30,146.3
20,16,Q3,-07-01,-09-30,2016-07-01,2016-09-30,123.8
20,16,Q4,-10-01,-12-31,2016-10-01,2016-12-31,226.1
20,17,Q1,-01-01,-03-31,2017-01-01,2017-03-31,276.9
20,17,Q2,-04-01,-06-30,2017-04-01,2017-06-30,275.5
20,17,Q3,-07-01,-09-30,2017-07-01,2017-09-30,177.1
20,17,Q4,-10-01,-12-31,2017-10-01,2017-12-31,246.7
20,18,Q1,-01-01,-03-31,2018-01-01,2018-03-31,173.7
20,18,Q2,-04-01,-06-30,2018-04-01,2018-06-30,227.7
20,18,Q3,-07-01,-09-30,2018-07-01,2018-09-30,262.0
20,18,Q4,-10-01,-12-31,2018-10-01,2018-12-31,189.8
20,19,Q1,-01-01,-03-31,2019-01-01,2019-03-31,196.9
20,19,Q2,-04-01,-06-30,2019-04-01,2019-06-30,287.9
20,19,Q3,-07-01,-09-30,2019-07-01,2019-09-30,122.2
20,19,Q4,-10-01,-12-31,2019-10-01,2019-12-31,170.4
20,20,Q1,-01-01,-03-31,2020-01-01,2020-03-31,101.0
20,20,Q2,-04-01,-06-30,2020-04-01,2020-06-30,23.6
20,20,Q3,-07-01,-09-30,2020-07-01,2020-09-30,136.2
,,,,,,,
