Start Day,Start Month,Year,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),INTDSRRUM193N
1,1,1995,1,31,1/1/1995,31/01/1995,02/01/1995,31/01/1995,200
1,2,1995,2,28,1/2/1995,28/02/1995,01/02/1995,28/02/1995,200
1,3,1995,3,31,1/3/1995,31/03/1995,01/03/1995,31/03/1995,200
1,4,1995,4,30,1/4/1995,30/04/1995,03/04/1995,28/04/1995,200
1,5,1995,5,31,1/5/1995,31/05/1995,01/05/1995,31/05/1995,195
1,6,1995,6,30,1/6/1995,30/06/1995,01/06/1995,30/06/1995,180
1,7,1995,7,31,1/7/1995,31/07/1995,03/07/1995,31/07/1995,180
1,8,1995,8,31,1/8/1995,31/08/1995,01/08/1995,31/08/1995,180
1,9,1995,9,30,1/9/1995,30/09/1995,01/09/1995,29/09/1995,180
1,10,1995,10,31,1/10/1995,31/10/1995,02/10/1995,31/10/1995,170
1,11,1995,11,30,1/11/1995,30/11/1995,01/11/1995,30/11/1995,170
1,12,1995,12,31,1/12/1995,31/12/1995,01/12/1995,29/12/1995,160
1,1,1996,1,31,1/1/1996,31/01/1996,01/01/1996,31/01/1996,160
1,2,1996,2,29,1/2/1996,29/02/1996,01/02/1996,29/02/1996,120
1,3,1996,3,31,1/3/1996,31/03/1996,01/03/1996,29/03/1996,120
1,4,1996,4,30,1/4/1996,30/04/1996,01/04/1996,30/04/1996,120
1,5,1996,5,31,1/5/1996,31/05/1996,01/05/1996,31/05/1996,120
1,6,1996,6,30,1/6/1996,30/06/1996,03/06/1996,28/06/1996,120
1,7,1996,7,31,1/7/1996,31/07/1996,01/07/1996,31/07/1996,110
1,8,1996,8,31,1/8/1996,31/08/1996,01/08/1996,30/08/1996,80
1,9,1996,9,30,1/9/1996,30/09/1996,02/09/1996,30/09/1996,80
1,10,1996,10,31,1/10/1996,31/10/1996,01/10/1996,31/10/1996,60
1,11,1996,11,30,1/11/1996,30/11/1996,01/11/1996,29/11/1996,60
1,12,1996,12,31,1/12/1996,31/12/1996,02/12/1996,31/12/1996,48
1,1,1997,1,31,1/1/1997,31/01/1997,01/01/1997,31/01/1997,48
1,2,1997,2,28,1/2/1997,28/02/1997,03/02/1997,28/02/1997,42
