DATE,Month,Start Day,Start Month,Year,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),Actual,Forecast,Previous,Actual_Clean
23-Oct-20,(Oct),1,10,2020,10,31,1/10/2020,31/10/2020,1/10/2020,30/10/2020,4.25%,4.25%,4.25%,4.25
18-Sep-20,(Sep),1,9,2020,9,30,1/9/2020,30/9/2020,1/9/2020,30/9/2020,4.25%,4.25%,4.25%,4.25
24-Jul-20,(Jul),1,7,2020,7,31,1/7/2020,31/7/2020,1/7/2020,31/7/2020,4.25%,4.25%,4.50%,4.25
19-Jun-20,(Jun),1,6,2020,6,30,1/6/2020,30/6/2020,1/6/2020,30/6/2020,4.50%,4.50%,5.50%,4.5
24-Apr-20,(Apr),1,4,2020,4,30,1/4/2020,30/4/2020,1/4/2020,30/4/2020,5.50%,5.50%,6.00%,5.5
20-Mar-20,(Mar),1,3,2020,3,31,1/3/2020,31/3/2020,2/3/2020,31/3/2020,6.00%,6.00%,6.00%,6
7-Feb-20,(Feb),1,2,2020,2,29,1/2/2020,29/2/2020,3/2/2020,28/2/2020,6.00%,6.00%,6.25%,6
13-Dec-19,(Dec),1,12,2019,12,31,1/12/2019,31/12/2019,2/12/2019,31/12/2019,6.25%,6.25%,6.50%,6.25
25-Oct-19,(Oct),1,10,2019,10,31,1/10/2019,31/10/2019,1/10/2019,31/10/2019,6.50%,6.75%,7.00%,6.5
6-Sep-19,(Sep),1,9,2019,9,30,1/9/2019,30/9/2019,2/9/2019,30/9/2019,7.00%,7.00%,7.25%,7
26-Jul-19,(Jul),1,7,2019,7,31,1/7/2019,31/7/2019,1/7/2019,31/7/2019,7.25%,7.25%,7.50%,7.25
14-Jun-19,(Jun),1,6,2019,6,30,1/6/2019,30/6/2019,3/6/2019,28/6/2019,7.50%,7.50%,7.75%,7.5
26-Apr-19,(Apr),1,4,2019,4,30,1/4/2019,30/4/2019,1/4/2019,30/4/2019,7.75%,7.75%,7.75%,7.75
22-Mar-19,(Mar),1,3,2019,3,31,1/3/2019,31/3/2019,1/3/2019,29/3/2019,7.75%,7.75%,7.75%,7.75
8-Feb-19,(Feb),1,2,2019,2,28,1/2/2019,28/2/2019,1/2/2019,28/2/2019,7.75%,7.75%,7.75%,7.75
14-Dec-18,(Dec),1,12,2018,12,31,1/12/2018,31/12/2018,3/12/2018,31/12/2018,7.75%,7.50%,7.50%,7.75
26-Oct-18,(Oct),1,10,2018,10,31,1/10/2018,31/10/2018,1/10/2018,31/10/2018,7.50%,7.50%,7.50%,7.5
14-Sep-18,(Sep),1,9,2018,9,30,1/9/2018,30/9/2018,3/9/2018,28/9/2018,7.50%,7.25%,7.25%,7.5
27-Jul-18,(Jul),1,7,2018,7,31,1/7/2018,31/7/2018,2/7/2018,31/7/2018,7.25%,7.25%,7.25%,7.25
15-Jun-18,(Jun),1,6,2018,6,30,1/6/2018,30/6/2018,1/6/2018,29/6/2018,7.25%,7.25%,7.25%,7.25
27-Apr-18,(Apr),1,4,2018,4,30,1/4/2018,30/4/2018,2/4/2018,30/4/2018,7.25%,7.25%,7.25%,7.25
23-Mar-18,(Mar),1,3,2018,3,31,1/3/2018,31/3/2018,1/3/2018,30/3/2018,7.25%,7.25%,7.50%,7.25
9-Feb-18,(Feb),1,2,2018,2,28,1/2/2018,28/2/2018,1/2/2018,28/2/2018,7.50%,7.50%,7.75%,7.5
15-Dec-17,(Dec),1,12,2017,12,31,1/12/2017,31/12/2017,1/12/2017,29/12/2017,7.75%,8.00%,8.25%,7.75
27-Oct-17,(Oct),1,10,2017,10,31,1/10/2017,31/10/2017,2/10/2017,31/10/2017,8.25%,8.25%,8.50%,8.25
15-Sep-17,(Sep),1,9,2017,9,30,1/9/2017,30/9/2017,1/9/2017,29/9/2017,8.50%,8.50%,9.00%,8.5
28-Jul-17,(Jul),1,7,2017,7,31,1/7/2017,31/7/2017,3/7/2017,31/7/2017,9.00%,9.00%,9.00%,9
16-Jun-17,(Jun),1,6,2017,6,30,1/6/2017,30/6/2017,1/6/2017,30/6/2017,9.00%,8.75%,9.25%,9
28-Apr-17,(Apr),1,4,2017,4,30,1/4/2017,30/4/2017,3/4/2017,28/4/2017,9.25%,9.50%,9.75%,9.25
24-Mar-17,(Mar),1,3,2017,3,31,1/3/2017,31/3/2017,1/3/2017,31/3/2017,9.75%,10.00%,10.00%,9.75
3-Feb-17,(Feb),1,2,2017,2,28,1/2/2017,28/2/2017,1/2/2017,28/2/2017,10.00%,9.50%,10.00%,10
16-Dec-16,(Dec),1,12,2016,12,31,1/12/2016,31/12/2016,1/12/2016,30/12/2016,10.00%,10.00%,10.00%,10
28-Oct-16,(Oct),1,10,2016,10,31,1/10/2016,31/10/2016,3/10/2016,31/10/2016,10.00%,,10.00%,10
16-Sep-16,(Sep),1,9,2016,9,30,1/9/2016,30/9/2016,1/9/2016,30/9/2016,10.00%,10.00%,10.50%,10
29-Jul-16,(Jul),1,7,2016,7,31,1/7/2016,31/7/2016,1/7/2016,29/7/2016,10.50%,10.50%,10.50%,10.5
10-Jun-16,(Jun),1,6,2016,6,30,1/6/2016,30/6/2016,1/6/2016,30/6/2016,10.50%,10.50%,11.00%,10.5
29-Apr-16,(Apr),1,4,2016,4,30,1/4/2016,30/4/2016,1/4/2016,29/4/2016,11.00%,11.00%,11.00%,11
18-Mar-16,(Mar),1,3,2016,3,31,1/3/2016,31/3/2016,1/3/2016,31/3/2016,11.00%,11.00%,11.00%,11
29-Jan-16,(Jan),1,1,2016,1,31,1/1/2016,31/1/2016,1/1/2016,29/1/2016,11.00%,11.00%,11.00%,11
11-Dec-15,(Dec),1,12,2015,12,31,1/12/2015,31/12/2015,1/12/2015,31/12/2015,11.00%,11.00%,11.00%,11
30-Oct-15,(Oct),1,10,2015,10,31,1/10/2015,31/10/2015,1/10/2015,30/10/2015,11.00%,11.00%,11.00%,11
11-Sep-15,(Sep),1,9,2015,9,30,1/9/2015,30/9/2015,1/9/2015,30/9/2015,11.00%,11.00%,11.00%,11
31-Jul-15,(Aug),1,7,2015,7,31,1/7/2015,31/7/2015,1/7/2015,31/7/2015,11.00%,11.00%,11.50%,11
15-Jun-15,(Jun),1,6,2015,6,30,1/6/2015,30/6/2015,1/6/2015,30/6/2015,11.50%,11.50%,12.50%,11.5
30-Apr-15,(Apr),1,4,2015,4,30,1/4/2015,30/4/2015,1/4/2015,30/4/2015,12.50%,13.00%,14.00%,12.5
13-Mar-15,(Mar),1,3,2015,3,31,1/3/2015,31/3/2015,2/3/2015,31/3/2015,14.00%,15.00%,15.00%,14
30-Jan-15,(Jan),1,1,2015,1,31,1/1/2015,31/1/2015,1/1/2015,30/1/2015,15.00%,17.00%,17.00%,15
15-Dec-14,,1,12,2014,12,31,1/12/2014,31/12/2014,1/12/2014,31/12/2014,17.00%,,10.50%,17
11-Dec-14,(Dec),1,12,2014,12,31,1/12/2014,31/12/2014,1/12/2014,31/12/2014,10.50%,10.25%,9.50%,10.5
31-Oct-14,(Nov),1,10,2014,10,31,1/10/2014,31/10/2014,1/10/2014,31/10/2014,9.50%,8.50%,8.00%,9.5
12-Sep-14,(Sep),1,9,2014,9,30,1/9/2014,30/9/2014,1/9/2014,30/9/2014,8.00%,8.00%,8.00%,8
25-Jul-14,,1,7,2014,7,31,1/7/2014,31/7/2014,1/7/2014,31/7/2014,8.00%,7.50%,7.50%,8
16-Jun-14,,1,6,2014,6,30,1/6/2014,30/6/2014,2/6/2014,30/6/2014,7.50%,7.50%,7.50%,7.5
