Date,UK Interest Rate
1959-01-01,4.0000
1959-02-01,4.0000
1959-03-01,4.0000
1959-04-01,4.0000
1959-05-01,4.0000
1959-06-01,4.0000
1959-07-01,4.0000
1959-08-01,4.0000
1959-09-01,4.0000
1959-10-01,4.0000
1959-11-01,4.0000
1959-12-01,4.0000
1960-01-01,5.0000
1960-02-01,5.0000
1960-03-01,5.0000
1960-04-01,5.0000
1960-05-01,5.0000
1960-06-01,6.0000
1960-07-01,6.0000
1960-08-01,6.0000
1960-09-01,6.0000
1960-10-01,5.5000
1960-11-01,5.5000
1960-12-01,5.0000
1961-01-01,5.0000
1961-02-01,5.0000
1961-03-01,5.0000
1961-04-01,5.0000
1961-05-01,5.0000
1961-06-01,5.0000
1961-07-01,7.0000
1961-08-01,7.0000
1961-09-01,7.0000
1961-10-01,6.5000
1961-11-01,6.0000
1961-12-01,6.0000
1962-01-01,6.0000
1962-02-01,6.0000
1962-03-01,5.0000
1962-04-01,4.5000
1962-05-01,4.5000
1962-06-01,4.5000
1962-07-01,4.5000
1962-08-01,4.5000
1962-09-01,4.5000
1962-10-01,4.5000
1962-11-01,4.5000
1962-12-01,4.5000
1963-01-01,4.0000
1963-02-01,4.0000
1963-03-01,4.0000
1963-04-01,4.0000
1963-05-01,4.0000
1963-06-01,4.0000
1963-07-01,4.0000
1963-08-01,4.0000
1963-09-01,4.0000
1963-10-01,4.0000
1963-11-01,4.0000
1963-12-01,4.0000
1964-01-01,4.0000
1964-02-01,5.0000
1964-03-01,5.0000
1964-04-01,5.0000
1964-05-01,5.0000
1964-06-01,5.0000
1964-07-01,5.0000
1964-08-01,5.0000
1964-09-01,5.0000
1964-10-01,5.0000
1964-11-01,7.0000
1964-12-01,7.0000
1965-01-01,7.0000
1965-02-01,7.0000
1965-03-01,7.0000
1965-04-01,7.0000
1965-05-01,7.0000
1965-06-01,6.0000
1965-07-01,6.0000
1965-08-01,6.0000
1965-09-01,6.0000
1965-10-01,6.0000
1965-11-01,6.0000
1965-12-01,6.0000
1966-01-01,6.0000
1966-02-01,6.0000
1966-03-01,6.0000
1966-04-01,6.0000
1966-05-01,6.0000
1966-06-01,6.0000
1966-07-01,7.0000
1966-08-01,7.0000
1966-09-01,7.0000
1966-10-01,7.0000
1966-11-01,7.0000
1966-12-01,7.0000
1967-01-01,6.5000
1967-02-01,6.5000
1967-03-01,6.0000
1967-04-01,6.0000
1967-05-01,5.5000
1967-06-01,5.5000
1967-07-01,5.5000
1967-08-01,5.5000
1967-09-01,5.5000
1967-10-01,6.0000
1967-11-01,8.0000
1967-12-01,8.0000
1968-01-01,8.0000
1968-02-01,8.0000
1968-03-01,7.5000
1968-04-01,7.5000
1968-05-01,7.5000
1968-06-01,7.5000
1968-07-01,7.5000
1968-08-01,7.5000
1968-09-01,7.0000
1968-10-01,7.0000
1968-11-01,7.0000
1968-12-01,7.0000
1969-01-01,7.0000
1969-02-01,8.0000
1969-03-01,8.0000
1969-04-01,8.0000
1969-05-01,8.0000
1969-06-01,8.0000
1969-07-01,8.0000
1969-08-01,8.0000
1969-09-01,8.0000
1969-10-01,8.0000
1969-11-01,8.0000
1969-12-01,8.0000
1970-01-01,8.0000
1970-02-01,8.0000
1970-03-01,7.5000
1970-04-01,7.0000
1970-05-01,7.0000
1970-06-01,7.0000
1970-07-01,7.0000
1970-08-01,7.0000
1970-09-01,7.0000
1970-10-01,7.0000
1970-11-01,7.0000
1970-12-01,7.0000
1971-01-01,7.0000
1971-02-01,7.0000
1971-03-01,7.0000
1971-04-01,6.0000
1971-05-01,6.0000
1971-06-01,6.0000
1971-07-01,6.0000
1971-08-01,6.0000
1971-09-01,5.0000
1971-10-01,5.0000
1971-11-01,5.0000
1971-12-01,5.0000
1972-01-01,5.0000
1972-02-01,5.0000
1972-03-01,5.0000
1972-04-01,5.0000
1972-05-01,5.0000
1972-06-01,6.0000
1972-07-01,6.0000
1972-08-01,6.0000
1972-09-01,6.0000
1972-10-01,7.5000
1972-11-01,7.5000
1972-12-01,9.0000
1973-01-01,8.7500
1973-02-01,8.7500
1973-03-01,8.5000
1973-04-01,8.2500
1973-05-01,7.7500
1973-06-01,7.5000
1973-07-01,11.5000
1973-08-01,11.5000
1973-09-01,11.5000
1973-10-01,11.2500
1973-11-01,13.0000
1973-12-01,13.0000
1974-01-01,12.7500
1974-02-01,12.5000
1974-03-01,12.5000
1974-04-01,12.0000
1974-05-01,11.7500
1974-06-01,11.7500
1974-07-01,11.7500
1974-08-01,11.7500
1974-09-01,11.5000
1974-10-01,11.5000
1974-11-01,11.5000
1974-12-01,11.5000
1975-01-01,11.0000
1975-02-01,10.5000
1975-03-01,10.0000
1975-04-01,9.7500
1975-05-01,10.0000
1975-06-01,10.0000
1975-07-01,11.0000
1975-08-01,11.0000
1975-09-01,11.0000
1975-10-01,12.0000
1975-11-01,11.7500
1975-12-01,11.2500
1976-01-01,10.5000
1976-02-01,9.5000
1976-03-01,9.0000
1976-04-01,10.5000
1976-05-01,11.5000
1976-06-01,11.5000
1976-07-01,11.5000
1976-08-01,11.5000
1976-09-01,13.0000
1976-10-01,15.0000
1976-11-01,14.7500
1976-12-01,14.2500
1977-01-01,12.2500
1977-02-01,12.0000
1977-03-01,9.5000
1977-04-01,8.7500
1977-05-01,8.0000
1977-06-01,8.0000
1977-07-01,8.0000
1977-08-01,7.0000
1977-09-01,6.0000
1977-10-01,5.0000
1977-11-01,7.0000
1977-12-01,7.0000
1978-01-01,6.5000
1978-02-01,6.5000
1978-03-01,6.5000
1978-04-01,7.5000
1978-05-01,9.0000
1978-06-01,10.0000
1978-07-01,10.0000
1978-08-01,10.0000
1978-09-01,10.0000
1978-10-01,10.0000
1978-11-01,12.5000
1978-12-01,12.5000
1979-01-01,12.5000
1979-02-01,14.0000
1979-03-01,13.0000
1979-04-01,12.0000
1979-05-01,12.0000
1979-06-01,14.0000
1979-07-01,14.0000
1979-08-01,14.0000
1979-09-01,14.0000
1979-10-01,14.0000
1979-11-01,17.0000
1979-12-01,17.0000
1980-01-01,17.0000
1980-02-01,17.0000
1980-03-01,17.0000
1980-04-01,17.0000
1980-05-01,17.0000
1980-06-01,17.0000
1980-07-01,16.0000
1980-08-01,16.0000
1980-09-01,16.0000
1980-10-01,16.0000
1980-11-01,14.0000
1980-12-01,14.0000
1981-01-01,14.0000
1981-02-01,14.0000
1981-03-01,12.0000
1981-04-01,12.0000
1981-05-01,12.0000
1981-06-01,12.0000
1981-07-01,12.0000
1981-08-01,12.6875
1981-09-01,14.0000
1981-10-01,15.1250
1981-11-01,14.5625
1981-12-01,14.3750
1982-01-01,13.8750
1982-02-01,13.6250
1982-03-01,13.2500
1982-04-01,13.1250
1982-05-01,13.1250
1982-06-01,12.6250
1982-07-01,11.6250
1982-08-01,10.6250
1982-09-01,10.1250
1982-10-01,9.6250
1982-11-01,10.0000
1982-12-01,10.0000
1983-01-01,11.0000
1983-02-01,11.0000
1983-03-01,10.5625
1983-04-01,10.0625
1983-05-01,10.0625
1983-06-01,9.5625
1983-07-01,9.5625
1983-08-01,9.5625
1983-09-01,9.5625
1983-10-01,9.0625
1983-11-01,9.0625
1983-12-01,9.0625
1984-01-01,9.0625
1984-02-01,9.0625
1984-03-01,8.5625
1984-04-01,8.5625
1984-05-01,9.0625
1984-06-01,8.8750
1984-07-01,12.0000
1984-08-01,10.5000
1984-09-01,10.5000
1984-10-01,10.5000
1984-11-01,9.5000
1984-12-01,9.5000
1985-01-01,13.8750
1985-02-01,13.8750
1985-03-01,12.8750
1985-04-01,12.3750
1985-05-01,12.3750
1985-06-01,12.3750
1985-07-01,11.3750
1985-08-01,11.3750
1985-09-01,11.3750
1985-10-01,11.3750
1985-11-01,11.3750
1985-12-01,11.3750
1986-01-01,12.3750
1986-02-01,12.3750
1986-03-01,11.3750
1986-04-01,10.3750
1986-05-01,9.8750
1986-06-01,9.8750
1986-07-01,9.8750
1986-08-01,9.8750
1986-09-01,9.8750
1986-10-01,10.8750
1986-11-01,10.8750
1986-12-01,10.8750
1987-01-01,10.8750
1987-02-01,10.8750
1987-03-01,9.8750
1987-04-01,9.3750
1987-05-01,8.8750
1987-06-01,8.8750
1987-07-01,8.8750
1987-08-01,9.8750
1987-09-01,9.8750
1987-10-01,9.3750
1987-11-01,8.8750
1987-12-01,8.3750
1988-01-01,8.3750
1988-02-01,8.8750
1988-03-01,8.3750
1988-04-01,7.8750
1988-05-01,7.3750
1988-06-01,8.8750
1988-07-01,10.3750
1988-08-01,11.8750
1988-09-01,11.8750
1988-10-01,11.8750
1988-11-01,12.8750
1988-12-01,12.8750
1989-01-01,12.8750
1989-02-01,12.8750
1989-03-01,12.8750
1989-04-01,12.8750
1989-05-01,13.7500
1989-06-01,13.7500
1989-07-01,13.7500
1989-08-01,13.8438
1989-09-01,13.7500
1989-10-01,14.8750
1989-11-01,14.8750
1989-12-01,14.8750
1990-01-01,14.8750
1990-02-01,14.8750
1990-03-01,14.8750
1990-04-01,14.8750
1990-05-01,14.8750
1990-06-01,14.8750
1990-07-01,14.8750
1990-08-01,14.8750
1990-09-01,14.8750
1990-10-01,13.8750
1990-11-01,13.8750
1990-12-01,13.8750
1991-01-01,13.8750
1991-02-01,12.8750
1991-03-01,12.3750
1991-04-01,11.8750
1991-05-01,11.3750
1991-06-01,11.3750
1991-07-01,10.8750
1991-08-01,10.8750
1991-09-01,10.3750
1991-10-01,10.3750
1991-11-01,10.3750
1991-12-01,10.3750
1992-01-01,10.3750
1992-02-01,10.3750
1992-03-01,10.3750
1992-04-01,10.3750
1992-05-01,9.8750
1992-06-01,9.8750
1992-07-01,9.8750
1992-08-01,9.8750
1992-09-01,8.8750
1992-10-01,7.8750
1992-11-01,6.8750
1992-12-01,6.8750
1993-01-01,5.8750
1993-02-01,5.8750
1993-03-01,5.8750
1993-04-01,5.8750
1993-05-01,5.8750
1993-06-01,5.8750
1993-07-01,5.8750
1993-08-01,5.8750
1993-09-01,5.8750
1993-10-01,5.8750
1993-11-01,5.3750
1993-12-01,5.3750
1994-01-01,5.3750
1994-02-01,5.1250
1994-03-01,5.1250
1994-04-01,5.1250
1994-05-01,5.1250
1994-06-01,5.1250
1994-07-01,5.1250
1994-08-01,5.1250
1994-09-01,5.6250
1994-10-01,5.6250
1994-11-01,5.6250
1994-12-01,6.1250
1995-01-01,6.1250
1995-02-01,6.6250
1995-03-01,6.6250
1995-04-01,6.6250
1995-05-01,6.6250
1995-06-01,6.6250
1995-07-01,6.6250
1995-08-01,6.6250
1995-09-01,6.6250
1995-10-01,6.6250
1995-11-01,6.6250
1995-12-01,6.3750
1996-01-01,6.1250
1996-02-01,6.1250
1996-03-01,5.9375
1996-04-01,5.9375
1996-05-01,5.9375
1996-06-01,5.6875
1996-07-01,5.6875
1996-08-01,5.6875
1996-09-01,5.6875
1996-10-01,5.9375
1996-11-01,5.9375
1996-12-01,5.9375
1997-01-01,5.9375
1997-02-01,5.9375
1997-03-01,5.9375
1997-04-01,5.9375
1997-05-01,6.2500
1997-06-01,6.5000
1997-07-01,6.7500
1997-08-01,7.0000
1997-09-01,7.0000
1997-10-01,7.0000
1997-11-01,7.2500
1997-12-01,7.2500
1998-01-01,7.2500
1998-02-01,7.2500
1998-03-01,7.2500
1998-04-01,7.2500
1998-05-01,7.2500
1998-06-01,7.5000
1998-07-01,7.5000
1998-08-01,7.5000
1998-09-01,7.5000
1998-10-01,7.2500
1998-11-01,6.7500
1998-12-01,6.2500
1999-01-01,6.0000
1999-02-01,5.5000
1999-03-01,5.5000
1999-04-01,5.2500
1999-05-01,5.2500
1999-06-01,5.0000
1999-07-01,5.0000
1999-08-01,5.0000
1999-09-01,5.2500
1999-10-01,5.2500
1999-11-01,5.5000
1999-12-01,5.5000
2000-01-01,5.7500
2000-02-01,6.0000
2000-03-01,6.0000
2000-04-01,6.0000
2000-05-01,6.0000
2000-06-01,6.0000
2000-07-01,6.0000
2000-08-01,6.0000
2000-09-01,6.0000
2000-10-01,6.0000
2000-11-01,6.0000
2000-12-01,6.0000
2001-01-01,6.0000
2001-02-01,5.7500
2001-03-01,5.7500
2001-04-01,5.5000
2001-05-01,5.2500
2001-06-01,5.2500
2001-07-01,5.2500
2001-08-01,5.0000
2001-09-01,4.7500
2001-10-01,4.5000
2001-11-01,4.0000
2001-12-01,4.0000
2002-01-01,4.0000
