Start Day,Start Month,Year,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),FEDFUNDS
1,7,1954,7,31,1/7/1954,31/7/1954,1/7/1954,30/7/1954,0.8
1,8,1954,8,31,1/8/1954,31/8/1954,2/8/1954,31/8/1954,1.22
1,9,1954,9,30,1/9/1954,30/9/1954,1/9/1954,30/9/1954,1.07
1,10,1954,10,31,1/10/1954,31/10/1954,1/10/1954,29/10/1954,0.85
1,11,1954,11,30,1/11/1954,30/11/1954,1/11/1954,30/11/1954,0.83
1,12,1954,12,31,1/12/1954,31/12/1954,1/12/1954,31/12/1954,1.28
1,1,1955,1,31,1/1/1955,31/1/1955,3/1/1955,31/1/1955,1.39
1,2,1955,2,28,1/2/1955,28/2/1955,1/2/1955,28/2/1955,1.29
1,3,1955,3,31,1/3/1955,31/3/1955,1/3/1955,31/3/1955,1.35
1,4,1955,4,30,1/4/1955,30/4/1955,1/4/1955,29/4/1955,1.43
1,5,1955,5,31,1/5/1955,31/5/1955,2/5/1955,31/5/1955,1.43
1,6,1955,6,30,1/6/1955,30/6/1955,1/6/1955,30/6/1955,1.64
1,7,1955,7,31,1/7/1955,31/7/1955,1/7/1955,29/7/1955,1.68
1,8,1955,8,31,1/8/1955,31/8/1955,1/8/1955,31/8/1955,1.96
1,9,1955,9,30,1/9/1955,30/9/1955,1/9/1955,30/9/1955,2.18
1,10,1955,10,31,1/10/1955,31/10/1955,3/10/1955,31/10/1955,2.24
1,11,1955,11,30,1/11/1955,30/11/1955,1/11/1955,30/11/1955,2.35
1,12,1955,12,31,1/12/1955,31/12/1955,1/12/1955,30/12/1955,2.48
1,1,1956,1,31,1/1/1956,31/1/1956,2/1/1956,31/1/1956,2.45
1,2,1956,2,29,1/2/1956,29/2/1956,1/2/1956,29/2/1956,2.5
1,3,1956,3,31,1/3/1956,31/3/1956,1/3/1956,30/3/1956,2.5
