"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 1999","970.00","970.00","970.00","970.00","-","0.00%"
"Dec 29, 1999","970.00","970.00","970.00","970.00","-","0.00%"
"Dec 28, 1999","970.00","970.00","970.00","970.00","-","0.00%"
"Dec 27, 1999","970.00","970.00","970.00","970.00","-","0.00%"
"Dec 24, 1999","970.00","970.00","970.00","970.00","-","0.00%"
"Dec 23, 1999","970.00","970.00","970.00","970.00","-","-1.02%"
"Dec 22, 1999","980.00","980.00","980.00","980.00","-","0.00%"
"Dec 21, 1999","980.00","980.00","980.00","980.00","-","2.08%"
"Dec 20, 1999","960.00","960.00","960.00","960.00","-","0.00%"
"Dec 17, 1999","960.00","960.00","960.00","960.00","-","0.00%"
"Dec 16, 1999","960.00","960.00","960.00","960.00","-","0.00%"
"Dec 15, 1999","960.00","960.00","960.00","960.00","-","0.00%"
"Dec 14, 1999","960.00","960.00","960.00","960.00","-","0.00%"
"Dec 13, 1999","960.00","960.00","960.00","960.00","-","0.00%"
"Dec 10, 1999","960.00","960.00","960.00","960.00","-","1.05%"
"Dec 09, 1999","950.00","950.00","950.00","950.00","-","0.00%"
"Dec 08, 1999","950.00","950.00","950.00","950.00","-","0.00%"
"Dec 07, 1999","950.00","950.00","950.00","950.00","-","0.00%"
"Dec 06, 1999","950.00","950.00","950.00","950.00","-","6.15%"
"Dec 03, 1999","895.00","895.00","895.00","895.00","-","0.00%"
"Dec 02, 1999","895.00","895.00","895.00","895.00","-","0.00%"
"Dec 01, 1999","895.00","895.00","895.00","895.00","-","0.00%"
"Nov 30, 1999","895.00","895.00","895.00","895.00","-","0.00%"
"Nov 29, 1999","895.00","895.00","895.00","895.00","-","0.00%"
"Nov 26, 1999","895.00","895.00","895.00","895.00","-","0.00%"
"Nov 25, 1999","895.00","895.00","895.00","895.00","-","0.00%"
"Nov 24, 1999","895.00","895.00","895.00","895.00","-","0.00%"
"Nov 23, 1999","895.00","895.00","895.00","895.00","-","0.00%"
"Nov 22, 1999","895.00","895.00","895.00","895.00","-","0.00%"
"Nov 19, 1999","895.00","895.00","895.00","895.00","-","0.00%"
"Nov 18, 1999","895.00","895.00","895.00","895.00","-","-0.56%"
"Nov 17, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Nov 16, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Nov 15, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Nov 12, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Nov 11, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Nov 10, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Nov 09, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Nov 08, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Nov 05, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Nov 04, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Nov 03, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Nov 02, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Nov 01, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Oct 29, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Oct 28, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Oct 27, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Oct 26, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Oct 25, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Oct 22, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Oct 21, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Oct 20, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Oct 19, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Oct 18, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Oct 15, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Oct 14, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Oct 13, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Oct 12, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Oct 11, 1999","900.00","900.00","900.00","900.00","-","0.00%"
"Oct 08, 1999","900.00","900.00","900.00","900.00","-","-1.10%"
"Oct 07, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Oct 06, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Oct 05, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Oct 04, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Oct 01, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 30, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 29, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 28, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 27, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 24, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 23, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 22, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 21, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 20, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 17, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 16, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 15, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 14, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 13, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 10, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 09, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 08, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 07, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 06, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 03, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 02, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Sep 01, 1999","910.00","910.00","910.00","910.00","-","0.00%"
"Aug 31, 1999","910.00","910.00","910.00","910.00","-","-1.09%"
"Aug 30, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 27, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 26, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 25, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 24, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 23, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 20, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 19, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 18, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 17, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 16, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 13, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 12, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 11, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 10, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 09, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 06, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 05, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 04, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 03, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Aug 02, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Jul 30, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Jul 29, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Jul 28, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Jul 27, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Jul 26, 1999","920.00","920.00","920.00","920.00","-","0.00%"
"Jul 23, 1999","920.00","920.00","920.00","920.00","-","0.00%"
