"Date","Price","Open","High","Low","Change %"
"Dec 31, 2009","3.837","3.837","3.837","3.837","1.16%"
"Dec 30, 2009","3.793","3.793","3.793","3.793","-0.26%"
"Dec 29, 2009","3.803","3.803","3.803","3.803","-1.17%"
"Dec 28, 2009","3.848","3.848","3.848","3.848","1.13%"
"Dec 24, 2009","3.805","3.805","3.805","3.805","1.36%"
"Dec 23, 2009","3.754","3.754","3.754","3.754","-0.11%"
"Dec 22, 2009","3.758","3.758","3.758","3.758","2.12%"
"Dec 21, 2009","3.680","3.680","3.680","3.680","3.78%"
"Dec 18, 2009","3.546","3.546","3.546","3.546","1.84%"
"Dec 17, 2009","3.482","3.482","3.482","3.482","-3.22%"
"Dec 16, 2009","3.598","3.598","3.598","3.598","0.11%"
"Dec 15, 2009","3.594","3.594","3.594","3.594","1.18%"
"Dec 14, 2009","3.552","3.552","3.552","3.552","-0.06%"
"Dec 11, 2009","3.554","3.554","3.554","3.554","1.51%"
"Dec 10, 2009","3.501","3.501","3.501","3.501","1.98%"
"Dec 09, 2009","3.433","3.433","3.433","3.433","1.45%"
"Dec 08, 2009","3.384","3.384","3.384","3.384","-1.31%"
"Dec 07, 2009","3.429","3.429","3.429","3.429","-1.41%"
"Dec 04, 2009","3.478","3.478","3.478","3.478","2.93%"
"Dec 03, 2009","3.379","3.379","3.379","3.379","1.96%"
"Dec 02, 2009","3.314","3.314","3.314","3.314","0.91%"
"Dec 01, 2009","3.284","3.284","3.284","3.284","2.69%"
"Nov 30, 2009","3.198","3.198","3.198","3.198","-0.28%"
"Nov 27, 2009","3.207","3.207","3.207","3.207","-1.87%"
"Nov 25, 2009","3.268","3.268","3.268","3.268","-1.09%"
"Nov 24, 2009","3.304","3.304","3.304","3.304","-1.46%"
"Nov 23, 2009","3.353","3.353","3.353","3.353","-0.47%"
"Nov 20, 2009","3.369","3.369","3.369","3.369","0.81%"
"Nov 19, 2009","3.342","3.342","3.342","3.342","-0.71%"
"Nov 18, 2009","3.366","3.366","3.366","3.366","1.29%"
"Nov 17, 2009","3.323","3.323","3.323","3.323","-0.78%"
"Nov 16, 2009","3.349","3.349","3.349","3.349","-2.16%"
"Nov 13, 2009","3.423","3.423","3.423","3.423","-0.61%"
"Nov 12, 2009","3.444","3.444","3.444","3.444","0.00%"
"Nov 11, 2009","3.444","3.444","3.444","3.444","-0.98%"
"Nov 10, 2009","3.478","3.478","3.478","3.478","-0.17%"
"Nov 09, 2009","3.484","3.484","3.484","3.484","-0.49%"
"Nov 06, 2009","3.501","3.501","3.501","3.501","-0.74%"
"Nov 05, 2009","3.527","3.527","3.527","3.527","0.20%"
"Nov 04, 2009","3.520","3.520","3.520","3.520","1.47%"
"Nov 03, 2009","3.469","3.469","3.469","3.469","1.31%"
"Nov 02, 2009","3.424","3.424","3.424","3.424","1.06%"
"Oct 30, 2009","3.388","3.388","3.388","3.388","-3.06%"
"Oct 29, 2009","3.495","3.495","3.495","3.495","2.34%"
"Oct 28, 2009","3.415","3.415","3.415","3.415","-1.07%"
"Oct 27, 2009","3.452","3.452","3.452","3.452","-2.98%"
"Oct 26, 2009","3.558","3.558","3.558","3.558","1.83%"
"Oct 23, 2009","3.494","3.494","3.494","3.494","2.13%"
"Oct 22, 2009","3.421","3.421","3.421","3.421","0.83%"
"Oct 21, 2009","3.393","3.393","3.393","3.393","1.56%"
"Oct 20, 2009","3.341","3.341","3.341","3.341","-1.36%"
"Oct 19, 2009","3.387","3.387","3.387","3.387","-0.73%"
"Oct 16, 2009","3.412","3.412","3.412","3.412","-1.50%"
"Oct 15, 2009","3.464","3.464","3.464","3.464","1.20%"
"Oct 14, 2009","3.423","3.423","3.423","3.423","2.12%"
"Oct 13, 2009","3.352","3.352","3.352","3.352","-1.00%"
"Oct 12, 2009","3.386","3.386","3.386","3.386","0.06%"
"Oct 09, 2009","3.384","3.384","3.384","3.384","4.19%"
"Oct 08, 2009","3.248","3.248","3.248","3.248","1.95%"
"Oct 07, 2009","3.186","3.186","3.186","3.186","-2.24%"
"Oct 06, 2009","3.259","3.259","3.259","3.259","1.24%"
"Oct 05, 2009","3.219","3.219","3.219","3.219","0.00%"
"Oct 02, 2009","3.219","3.219","3.219","3.219","1.19%"
"Oct 01, 2009","3.181","3.181","3.181","3.181","-3.75%"
"Sep 30, 2009","3.305","3.305","3.305","3.305","0.39%"
"Sep 29, 2009","3.292","3.292","3.292","3.292","0.34%"
"Sep 28, 2009","3.281","3.281","3.281","3.281","-1.23%"
"Sep 25, 2009","3.322","3.322","3.322","3.322","-1.80%"
"Sep 24, 2009","3.383","3.383","3.383","3.383","-0.94%"
"Sep 23, 2009","3.415","3.415","3.415","3.415","-0.81%"
"Sep 22, 2009","3.443","3.443","3.443","3.443","-1.12%"
"Sep 21, 2009","3.482","3.482","3.482","3.482","0.37%"
"Sep 18, 2009","3.469","3.469","3.469","3.469","2.48%"
"Sep 17, 2009","3.385","3.385","3.385","3.385","-2.59%"
"Sep 16, 2009","3.475","3.475","3.475","3.475","0.81%"
